105 441
0 1 0.5000
0 2 0.5000
0 3 0.2500
0 4 0.2500
0 5 0.1000
0 6 0.1250
1 3 0.2500
1 5 0.1000
1 6 0.1250
2 4 0.2500
2 5 0.1000
2 7 0.1667
3 5 0.1000
3 8 0.5000
3 9 0.2500
3 10 0.1667
3 11 0.1250
3 12 0.0833
3 13 0.1250
3 14 0.0833
3 15 0.1667
3 16 0.1667
3 17 0.1250
3 18 0.1667
3 19 0.2500
3 20 0.1250
3 21 0.1250
3 22 0.1250
3 23 0.1250
3 24 0.1000
3 25 0.1250
3 26 0.1000
3 27 0.1000
4 5 0.1000
4 6 0.1250
4 28 0.5000
4 29 0.1250
4 30 0.2500
4 31 0.2500
5 6 0.1250
5 7 0.1667
6 7 0.1667
6 10 0.1667
6 12 0.0833
6 18 0.1667
6 22 0.1250
6 25 0.1250
6 29 0.1250
7 14 0.0833
7 30 0.2500
7 32 0.0714
7 33 0.1667
7 34 0.1000
8 9 0.2500
8 10 0.1667
8 11 0.1250
8 12 0.0833
8 13 0.1250
8 14 0.0833
8 20 0.1250
8 21 0.1250
8 22 0.1250
8 23 0.1250
8 24 0.1000
8 26 0.1000
8 27 0.1000
8 35 0.1250
8 36 0.1000
8 37 0.1667
8 38 0.1000
8 39 0.0455
8 40 0.0833
8 41 0.1250
8 42 0.1250
8 43 0.1000
8 44 0.1000
8 45 0.2500
9 11 0.1250
9 12 0.0833
9 14 0.0833
9 20 0.1250
9 24 0.1000
9 27 0.1000
9 40 0.0833
9 44 0.1000
9 46 0.0294
9 47 0.2500
9 48 0.1250
9 49 0.2500
9 50 0.5000
9 51 0.1667
10 11 0.1250
10 12 0.0833
10 15 0.1667
10 16 0.1667
10 19 0.2500
10 21 0.1250
10 36 0.1000
10 37 0.1667
10 38 0.1000
10 52 0.0833
10 53 0.0833
10 54 0.1250
11 12 0.0833
11 13 0.1250
11 14 0.0833
11 17 0.1250
11 20 0.1250
11 21 0.1250
11 22 0.1250
11 26 0.1000
11 27 0.1000
11 29 0.1250
11 44 0.1000
11 46 0.0294
11 49 0.2500
11 55 0.1667
12 13 0.1250
12 14 0.0833
12 15 0.1667
12 17 0.1250
12 18 0.1667
12 23 0.1250
12 24 0.1000
12 35 0.1250
12 36 0.1000
12 56 0.1667
12 52 0.0833
12 53 0.0833
12 39 0.0455
12 40 0.0833
12 43 0.1000
12 45 0.2500
12 46 0.0294
12 57 0.0833
12 54 0.1250
13 17 0.1250
13 29 0.1250
13 35 0.1250
13 39 0.0455
13 41 0.1250
13 42 0.1250
13 43 0.1000
13 46 0.0294
13 58 0.1000
14 25 0.1250
14 26 0.1000
14 32 0.0714
15 16 0.1667
15 54 0.1250
17 46 0.0294
19 54 0.1250
19 55 0.1667
19 59 0.0714
20 24 0.1000
20 39 0.0455
20 47 0.2500
20 48 0.1250
20 60 0.1250
20 58 0.1000
21 23 0.1250
22 25 0.1250
22 39 0.0455
22 51 0.1667
23 27 0.1000
23 35 0.1250
23 36 0.1000
23 46 0.0294
23 57 0.0833
24 26 0.1000
24 39 0.0455
24 46 0.0294
24 60 0.1250
25 39 0.0455
26 39 0.0455
26 44 0.1000
26 46 0.0294
26 60 0.1250
27 39 0.0455
27 40 0.0833
27 46 0.0294
27 57 0.0833
28 61 0.1667
28 62 0.1000
30 31 0.2500
30 32 0.0714
30 61 0.1667
30 63 0.1250
30 64 0.1667
30 65 0.1000
30 66 0.0833
30 67 0.0714
30 68 0.0625
30 59 0.0714
30 69 0.1000
30 70 0.1250
30 71 0.0625
30 72 0.1000
30 73 0.0385
30 74 0.0556
30 75 0.1250
30 76 0.0455
31 48 0.1250
31 65 0.1000
31 66 0.0833
31 67 0.0714
31 68 0.0625
31 59 0.0714
31 77 0.1000
31 71 0.0625
31 78 0.0833
32 81 0.1667
32 82 0.1667
32 84 0.1667
32 83 0.1250
32 59 0.0714
32 34 0.1000
33 62 0.1000
33 65 0.1000
33 66 0.0833
33 67 0.0714
33 68 0.0625
33 59 0.0714
33 77 0.1000
33 69 0.1000
33 70 0.1250
33 100 0.5000
33 71 0.0625
33 72 0.1000
35 36 0.1000
36 38 0.1000
36 52 0.0833
36 53 0.0833
36 46 0.0294
37 56 0.1667
37 38 0.1000
37 52 0.0833
37 53 0.0833
37 39 0.0455
37 42 0.1250
37 43 0.1000
38 52 0.0833
38 46 0.0294
39 40 0.0833
39 41 0.1250
39 43 0.1000
39 44 0.1000
39 46 0.0294
39 60 0.1250
39 57 0.0833
40 46 0.0294
40 57 0.0833
41 42 0.1250
41 46 0.0294
42 55 0.1667
44 46 0.0294
45 46 0.0294
45 80 0.1250
46 57 0.0833
47 48 0.1250
47 58 0.1000
48 58 0.1000
48 32 0.0714
48 62 0.1000
48 68 0.0625
49 32 0.0714
50 51 0.1667
50 32 0.0714
50 81 0.1667
50 82 0.1667
50 83 0.1250
51 32 0.0714
51 81 0.1667
52 53 0.0833
53 39 0.0455
53 41 0.1250
55 58 0.1000
56 40 0.0833
56 46 0.0294
60 68 0.0625
61 63 0.1250
61 64 0.1667
61 62 0.1000
61 65 0.1000
61 66 0.0833
61 68 0.0625
61 70 0.1250
61 73 0.0385
61 34 0.1000
61 74 0.0556
61 93 0.1250
61 94 0.0833
61 95 0.1667
61 75 0.1250
61 96 0.1250
61 97 0.0833
61 76 0.0455
61 92 0.0455
62 65 0.1000
62 66 0.0833
62 67 0.0714
62 68 0.0625
62 77 0.1000
62 69 0.1000
62 70 0.1250
62 71 0.0625
62 73 0.0385
62 34 0.1000
62 74 0.0556
62 101 0.1250
62 93 0.1250
62 94 0.0833
62 95 0.1667
62 78 0.0833
62 102 0.1667
63 98 0.5000
63 99 0.1667
64 33 0.1667
64 62 0.1000
64 67 0.0714
64 95 0.1667
65 66 0.0833
65 67 0.0714
65 71 0.0625
65 72 0.1000
65 73 0.0385
65 74 0.0556
65 94 0.0833
65 102 0.1667
65 75 0.1250
65 103 0.1667
65 90 0.1667
65 96 0.1250
65 97 0.0833
65 104 0.1250
65 76 0.0455
65 92 0.0455
66 67 0.0714
66 77 0.1000
66 69 0.1000
66 71 0.0625
66 73 0.0385
66 101 0.1250
66 93 0.1250
66 78 0.0833
66 104 0.1250
66 76 0.0455
67 68 0.0625
67 59 0.0714
67 77 0.1000
67 69 0.1000
67 71 0.0625
67 72 0.1000
67 73 0.0385
67 78 0.0833
67 102 0.1667
68 59 0.0714
68 71 0.0625
68 72 0.1000
68 73 0.0385
68 74 0.0556
69 73 0.0385
69 78 0.0833
69 92 0.0455
71 73 0.0385
72 73 0.0385
72 101 0.1250
72 92 0.0455
73 74 0.0556
73 101 0.1250
73 93 0.1250
73 94 0.0833
73 103 0.1667
73 96 0.1250
73 97 0.0833
73 76 0.0455
73 92 0.0455
73 91 0.1000
74 94 0.0833
74 75 0.1250
74 97 0.0833
74 92 0.0455
74 91 0.1000
75 103 0.1667
75 76 0.0455
75 80 0.1250
76 92 0.0455
78 104 0.1250
78 92 0.0455
79 37 0.1667
79 56 0.1667
79 38 0.1000
79 52 0.0833
79 53 0.0833
81 82 0.1667
81 61 0.1667
81 63 0.1250
81 84 0.1667
81 83 0.1250
81 64 0.1667
82 63 0.1250
82 84 0.1667
82 83 0.1250
82 34 0.1000
83 99 0.1667
84 33 0.1667
85 86 0.5000
85 87 0.5000
85 88 0.2500
85 89 0.1667
85 76 0.0455
86 88 0.2500
86 89 0.1667
86 73 0.0385
86 74 0.0556
86 76 0.0455
87 74 0.0556
87 90 0.1667
87 91 0.1000
88 89 0.1667
88 73 0.0385
88 76 0.0455
88 92 0.0455
89 76 0.0455
90 80 0.1250
92 91 0.1000
93 94 0.0833
95 78 0.0833
95 76 0.0455
96 97 0.0833
96 92 0.0455
98 99 0.1667
100 73 0.0385
100 74 0.0556
100 97 0.0833
101 104 0.1250
103 90 0.1667
103 96 0.1250
103 91 0.1000
103 80 0.1250
104 92 0.0455
